name,tag1,tag2
kabul,Hear your business on local Kabul radio stations,Cheer for local Kabul!
tirana,Hear your business on local Tirana radio stations,Cheer for local Tirana!
algiers,Faites entendre votre entreprise sur les stations locales de Algiers!,Allez l'équipe locale de Algiers!
andorra__la__vella,Hear your business on local Andorra la Vella radio stations,Cheer for local Andorra la Vella!
luanda,Hear your business on local Luanda radio stations,Cheer for local Luanda!
buenos__aires,¡Haz que tu negocio se escuche en las emisoras locales de Buenos Aires!,¡Apoya al equipo local de Buenos Aires!
yerevan,Hear your business on local Yerevan radio stations,Cheer for local Yerevan!
canberra,Hear your business on local Canberra radio stations,Cheer for local Canberra!
vienna,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Vienna!,Unterstützen Sie das lokale Team von Vienna!
baku,Hear your business on local Baku radio stations,Cheer for local Baku!
nassau,Hear your business on local Nassau radio stations,Cheer for local Nassau!
manama,Hear your business on local Manama radio stations,Cheer for local Manama!
dhaka,Hear your business on local Dhaka radio stations,Cheer for local Dhaka!
bridgetown,Hear your business on local Bridgetown radio stations,Cheer for local Bridgetown!
minsk,Hear your business on local Minsk radio stations,Cheer for local Minsk!
brussels,Faites entendre votre entreprise sur les stations locales de Brussels!,Allez l'équipe locale de Brussels!
belmopan,Hear your business on local Belmopan radio stations,Cheer for local Belmopan!
portonovo,Faites entendre votre entreprise sur les stations locales de Porto-Novo!,Allez l'équipe locale de Porto-Novo!
thimphu,Hear your business on local Thimphu radio stations,Cheer for local Thimphu!
sucre,¡Haz que tu negocio se escuche en las emisoras locales de Sucre!,¡Apoya al equipo local de Sucre!
sarajevo,Hear your business on local Sarajevo radio stations,Cheer for local Sarajevo!
gaborone,Hear your business on local Gaborone radio stations,Cheer for local Gaborone!
brasília,Faça seu negócio ser ouvido nas rádios locais de Brasília!,Torça pelo time local de Brasília!
bandar__seri__begawan,Hear your business on local Bandar Seri Begawan radio stations,Cheer for local Bandar Seri Begawan!
sofia,Hear your business on local Sofia radio stations,Cheer for local Sofia!
ouagadougou,Faites entendre votre entreprise sur les stations locales de Ouagadougou!,Allez l'équipe locale de Ouagadougou!
gitega,Faites entendre votre entreprise sur les stations locales de Gitega!,Allez l'équipe locale de Gitega!
phnom__penh,Hear your business on local Phnom Penh radio stations,Cheer for local Phnom Penh!
yaoundé,Faites entendre votre entreprise sur les stations locales de Yaoundé!,Allez l'équipe locale de Yaoundé!
ottawa,Faites entendre votre entreprise sur les stations locales de Ottawa!,Allez l'équipe locale de Ottawa!
praia,Faça seu negócio ser ouvido nas rádios locais de Praia!,Torça pelo time local de Praia!
bangui,Faites entendre votre entreprise sur les stations locales de Bangui!,Allez l'équipe locale de Bangui!
ndjamena,Faites entendre votre entreprise sur les stations locales de N'Djamena!,Allez l'équipe locale de N'Djamena!
santiago,¡Haz que tu negocio se escuche en las emisoras locales de Santiago!,¡Apoya al equipo local de Santiago!
beijing,Hear your business on local Beijing radio stations,Cheer for local Beijing!
bogotá,¡Haz que tu negocio se escuche en las emisoras locales de Bogotá!,¡Apoya al equipo local de Bogotá!
moroni,Faites entendre votre entreprise sur les stations locales de Moroni!,Allez l'équipe locale de Moroni!
kinshasa,Hear your business on local Kinshasa radio stations,Cheer for local Kinshasa!
brazzaville,Faites entendre votre entreprise sur les stations locales de Brazzaville!,Allez l'équipe locale de Brazzaville!
san__josé,¡Haz que tu negocio se escuche en las emisoras locales de San José!,¡Apoya al equipo local de San José!
zagreb,Hear your business on local Zagreb radio stations,Cheer for local Zagreb!
